order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,status,error
"(5,0,1)",5,0,1,c,c,5010.880947229204,5049.630946821254,10.516690094931278,110.60077055282564,OK,
"(4,1,3)",4,1,3,t,t,5010.901743486587,5054.4954930276435,5.261461330282337,27.68297533005638,OK,
"(3,0,4)",3,0,4,ct,ct,5010.938572896064,5059.376072386127,7.360975023067493,54.18395329022348,OK,
"(3,0,1)",3,0,1,t,t,5011.004843119039,5040.080122370623,6.481439535823245,42.00905845653265,OK,
"(2,0,4)",2,0,4,c,c,5011.043516982558,5049.793516574608,10.603275953927847,112.4294609551445,OK,
"(4,1,2)",4,1,2,t,t,5011.278436441323,5050.028436033373,5.253715363282324,27.601525118388725,OK,
"(2,2,2)",2,2,2,n,n,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,OK,
"(0,2,1)",0,2,1,n,n,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,OK,
"(5,0,4)",5,0,4,t,t,5011.324261044683,5064.6055104837515,6.89483110393991,47.538695951857235,OK,
"(2,1,2)",2,1,2,t,t,5011.343070251232,5040.411963126482,5.365476523707364,28.78833832645486,OK,
"(5,0,2)",5,0,2,n,n,5011.352878649678,5050.102878241728,5.401922405159995,29.18076567136955,OK,
"(5,0,2)",5,0,2,d,n,5011.352878649678,5050.102878241728,5.401922405159995,29.18076567136955,OK,
"(4,0,0)",4,0,0,c,c,5011.4237673771595,5040.492660252409,10.497791901552084,110.20363480829252,OK,
"(1,0,3)",1,0,3,c,c,5011.424340512765,5040.493233388015,10.497051815944051,110.1880968266143,OK,
"(2,0,3)",2,0,3,ct,ct,5011.455563867634,5050.2140877013,7.459931355443752,55.650575827932855,OK,
"(3,2,1)",3,2,1,n,n,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,OK,
"(4,0,1)",4,0,1,ct,ct,5011.530061329397,5050.288585163063,7.477044688066159,55.906197267338364,OK,
"(3,0,4)",3,0,4,n,n,5011.560831302972,5050.310830895021,5.3867839422381785,29.01744124035509,OK,
"(3,0,4)",3,0,4,d,n,5011.560831302972,5050.310830895021,5.3867839422381785,29.01744124035509,OK,
"(3,1,1)",3,1,1,t,t,5011.642030884832,5040.710923760082,5.388863162051627,29.039846179317056,OK,
"(3,1,2)",3,1,2,n,n,5011.680457720664,5040.749350595914,6.624024622761987,43.87770220295709,OK,
"(1,0,2)",1,0,2,ct,ct,5011.823916529137,5040.899195780721,7.47668819349861,55.90086634280151,OK,
"(3,0,0)",3,0,0,ct,ct,5011.8346285385205,5040.909907790105,7.486933257511858,56.05416960243712,OK,
"(4,0,1)",4,0,1,n,n,5011.919145475027,5040.988038350277,5.497763722873733,30.225405952546456,OK,
"(4,0,1)",4,0,1,d,n,5011.919145475027,5040.988038350277,5.497763722873733,30.225405952546456,OK,
"(2,0,3)",2,0,3,n,n,5011.957636969145,5041.026529844395,5.4784824232530065,30.01376966189213,OK,
"(2,0,3)",2,0,3,d,n,5011.957636969145,5041.026529844395,5.4784824232530065,30.01376966189213,OK,
"(5,1,4)",5,1,4,t,t,5012.047401161648,5065.31691726627,5.256234107551853,27.62799699339142,OK,
"(4,0,2)",4,0,2,t,t,5012.058130959505,5050.816654793171,6.638215576672278,44.06590604237446,OK,
"(1,1,1)",1,1,1,t,t,5012.064806121702,5031.448325622758,5.3976949263848155,29.135110518320378,OK,
"(2,1,0)",2,1,0,t,t,5012.09697492903,5031.480494430086,5.3742988085510355,28.883087683593082,OK,
"(1,0,2)",1,0,2,n,n,5012.2554421320665,5031.638961633123,5.475917521889911,29.985672706540946,OK,
"(1,0,2)",1,0,2,d,n,5012.2554421320665,5031.638961633123,5.475917521889911,29.985672706540946,OK,
"(3,0,0)",3,0,0,n,n,5012.2782027984185,5031.661722299475,5.459937245467783,29.81091472444632,OK,
"(3,0,0)",3,0,0,d,n,5012.2782027984185,5031.661722299475,5.459937245467783,29.81091472444632,OK,
"(1,0,1)",1,0,1,t,t,5012.349070922836,5031.736843481178,6.5558529542903,42.97920795827685,OK,
"(2,1,1)",2,1,1,n,n,5012.3584479903675,5031.741967491424,6.643122684532507,44.131079001750386,OK,
"(2,0,0)",2,0,0,t,t,5012.367648091291,5031.7554206496325,6.573213151550735,43.207131135719536,OK,
"(5,0,3)",5,0,3,n,n,5012.453631492568,5056.047381033624,5.958303441502891,35.501379901025196,OK,
"(5,0,3)",5,0,3,d,n,5012.453631492568,5056.047381033624,5.958303441502891,35.501379901025196,OK,
"(4,2,3)",4,2,3,n,n,5012.503439894532,5051.244906152439,4.831357730779939,23.342017522767083,OK,
"(5,0,3)",5,0,3,t,t,5012.554348461949,5060.991847952012,19.277437187983466,371.6195845366479,OK,
"(5,0,2)",5,0,2,c,c,5012.776549985358,5056.370299526414,10.525420554589372,110.78447785097244,OK,
"(1,2,1)",1,2,1,n,n,5012.881779209766,5027.416225647391,4.8356269004806265,23.383287520651873,OK,
"(3,0,4)",3,0,4,c,c,5012.974343276989,5056.568092818045,10.508715444027194,110.43310028353565,OK,
"(4,0,4)",4,0,4,c,c,5013.081516685122,5061.519016175184,10.667844357392577,113.80290323355264,OK,
"(3,2,2)",3,2,2,n,n,5013.141858707553,5042.204358401591,4.836129666991487,23.38815015595519,OK,
"(0,1,0)",0,1,0,n,n,5013.276068694508,5018.123011834093,6.459594517537628,41.72636133100218,OK,
"(4,0,1)",4,0,1,c,c,5013.422634651707,5047.3363430061645,10.502306309905268,110.29843782707601,OK,
"(2,0,3)",2,0,3,c,c,5013.422762078448,5047.336470432905,10.513333936621118,110.53019046290927,OK,
"(4,0,2)",4,0,2,ct,ct,5013.4874609304425,5057.090800243317,7.539827980212152,56.84900597119007,OK,
"(3,0,1)",3,0,1,ct,ct,5013.809556193648,5047.7307153204965,7.46594926292775,55.74039839661142,OK,
"(1,0,2)",1,0,2,c,c,5013.822890822001,5038.052290198321,10.537067388135302,111.02978914210452,OK,
"(3,0,0)",3,0,0,c,c,5013.843372671481,5038.072772047802,10.55307824314884,111.36746040602144,OK,
"(5,0,4)",5,0,4,ct,ct,5013.876097206547,5072.001096594621,7.814626075028575,61.068380692516506,OK,
"(2,1,1)",2,1,1,t,t,5014.045661387837,5038.275060764157,5.354245609660604,28.667946048569853,OK,
"(3,1,2)",3,1,2,t,t,5014.052055789356,5047.965764143813,5.260726123115191,27.675239342426586,OK,
"(4,0,4)",4,0,4,ct,ct,5014.085598009279,5067.3668474483475,7.611440746506814,57.9340302375842,OK,
"(2,0,2)",2,0,2,n,n,5014.20536786622,5038.43476724254,5.463612840036304,29.851065265809563,OK,
"(2,0,2)",2,0,2,d,n,5014.20536786622,5038.43476724254,5.463612840036304,29.851065265809563,OK,
"(2,0,1)",2,0,1,t,t,5014.2771771845955,5038.511892882522,6.492945335683417,42.15833913217304,OK,
"(2,0,2)",2,0,2,ct,ct,5014.307591944899,5048.228751071748,7.322057936854296,53.612532430650994,OK,
"(4,0,4)",4,0,4,n,n,5014.416623174115,5058.010372715171,5.429266441477195,29.47693409255045,OK,
"(4,0,4)",4,0,4,d,n,5014.416623174115,5058.010372715171,5.429266441477195,29.47693409255045,OK,
"(1,1,0)",1,1,0,n,n,5014.453275205873,5024.147161485043,6.556644315967358,42.989584686107065,OK,
"(2,2,1)",2,2,1,n,n,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,OK,
"(3,0,1)",3,0,1,n,n,5014.7109350488245,5038.940334425145,5.512558274713747,30.388298732115008,OK,
"(3,0,1)",3,0,1,d,n,5014.7109350488245,5038.940334425145,5.512558274713747,30.388298732115008,OK,
"(0,1,0)",0,1,0,t,t,5015.027851724102,5024.721738003273,5.361277853580671,28.743300223294572,OK,
"(4,0,2)",4,0,2,n,n,5015.3068714160345,5049.220579770492,5.42800458371189,29.463233760797287,OK,
"(4,0,2)",4,0,2,d,n,5015.3068714160345,5049.220579770492,5.42800458371189,29.463233760797287,OK,
"(4,0,2)",4,0,2,c,c,5015.430310047026,5054.188833880692,10.789961163105644,116.42326190132812,OK,
"(0,3,3)",0,3,3,n,n,5015.53211997448,5034.89858188039,9.206749851879156,84.76424283507686,OK,
"(1,0,1)",1,0,1,ct,ct,5015.58987180554,5039.824587503466,7.644793188023298,58.44286288764743,OK,
"(1,0,0)",1,0,0,t,t,5015.597150520445,5030.141166344174,6.757518832351441,45.66406076958439,OK,
"(2,0,0)",2,0,0,ct,ct,5015.604180290087,5039.838895988014,7.651683909579224,58.54826665211359,OK,
"(3,0,1)",3,0,1,c,c,5015.7890874435,5044.864366695084,10.539195822729072,111.07464858982992,OK,
"(3,0,2)",3,0,2,ct,ct,5015.822922267376,5054.589961269488,7.325979479247443,53.66997533035463,OK,
"(1,3,3)",1,3,3,n,n,5016.020327492231,5040.22840487462,5.246948444017037,27.530467974172804,OK,
"(5,0,4)",5,0,4,n,n,5016.040259431206,5064.477758921269,5.437910014111463,29.570865321573724,OK,
"(5,0,4)",5,0,4,d,n,5016.040259431206,5064.477758921269,5.437910014111463,29.570865321573724,OK,
"(3,0,2)",3,0,2,n,n,5016.081425318418,5045.156704570002,5.449749052480109,29.699764735007843,OK,
"(3,0,2)",3,0,2,d,n,5016.081425318418,5045.156704570002,5.449749052480109,29.699764735007843,OK,
"(5,0,4)",5,0,4,c,c,5016.164591193177,5069.445840632246,11.321716459636816,128.1812635924112,OK,
"(1,1,0)",1,1,0,t,t,5016.191900401129,5030.732729819885,5.425769015710608,29.43896941184526,OK,
"(1,0,1)",1,0,1,n,n,5016.326033763115,5030.866863181872,5.582653347211694,31.166018395133925,OK,
"(1,0,1)",1,0,1,d,n,5016.326033763115,5030.866863181872,5.582653347211694,31.166018395133925,OK,
"(2,0,0)",2,0,0,n,n,5016.358403912924,5030.89923333168,5.564765159421285,30.966611279508996,OK,
"(2,0,0)",2,0,0,d,n,5016.358403912924,5030.89923333168,5.564765159421285,30.966611279508996,OK,
"(2,0,2)",2,0,2,c,c,5016.382294809371,5045.457574060955,10.557378023536302,111.45823073184728,OK,
"(3,0,3)",3,0,3,ct,ct,5016.401094194546,5060.004433507421,7.890556929288647,62.26088865434509,OK,
"(3,0,3)",3,0,3,n,n,5016.439517167894,5050.353225522352,5.4736174347260125,29.960487821736578,OK,
"(3,0,3)",3,0,3,d,n,5016.439517167894,5050.353225522352,5.4736174347260125,29.960487821736578,OK,
"(5,0,3)",5,0,3,c,c,5016.650220752228,5065.087720242291,10.400943993028505,108.17963594611575,OK,
"(2,0,1)",2,0,1,ct,ct,5017.559245669279,5046.640904506791,7.633510951262452,58.270489443043786,OK,
"(3,0,2)",3,0,2,c,c,5017.694360868887,5051.615519995736,10.483421237351173,109.9021208397456,OK,
"(1,0,1)",1,0,1,c,c,5017.826318497193,5037.2140910555345,10.669496131828714,113.83814770710788,OK,
"(2,0,0)",2,0,0,c,c,5017.851697708742,5037.239470267084,10.675452849492688,113.96529354174153,OK,
"(2,0,1)",2,0,1,n,n,5018.171916901753,5037.559689460095,5.576386207017098,31.09608312981054,OK,
"(2,0,1)",2,0,1,d,n,5018.171916901753,5037.559689460095,5.576386207017098,31.09608312981054,OK,
"(1,0,0)",1,0,0,ct,ct,5018.630397978273,5038.022419076578,7.7505176943880745,60.070524531022635,OK,
"(3,0,2)",3,0,2,t,t,5019.086141614297,5053.007300741146,11.811742163314928,139.5172529326316,OK,
"(1,0,0)",1,0,0,n,n,5019.6077824922195,5029.303793041372,5.570359124612659,31.02890077715551,OK,
"(1,0,0)",1,0,0,d,n,5019.6077824922195,5029.303793041372,5.570359124612659,31.02890077715551,OK,
"(2,0,1)",2,0,1,c,c,5019.742046924783,5043.976762622709,10.642552664608155,113.26392721895813,OK,
"(1,3,2)",1,3,2,n,n,5019.743342032925,5039.114075161879,7.6264784207781275,58.16317310259444,OK,
"(4,3,2)",4,3,2,n,n,5020.322556278349,5054.213864613692,9.700251734039876,94.09488370374362,OK,
"(1,3,4)",1,3,4,n,n,5020.69293776793,5049.736216943662,8.832688525371953,78.01638658623736,OK,
"(1,0,0)",1,0,0,c,c,5020.989280001545,5035.533295825274,10.992488593657557,120.83480548169148,OK,
"(3,0,3)",3,0,3,c,c,5021.620250509814,5060.37877434348,10.230124829323927,104.6554540235499,OK,
"(3,3,2)",3,3,2,n,n,5023.73612074596,5052.792220439391,9.888096019703653,97.77444289487921,OK,
"(5,3,2)",5,3,2,n,n,5031.600965018732,5070.325337253041,9.50156815595136,90.27979742218892,OK,
"(3,3,3)",3,3,3,n,n,5033.38790016864,5067.279208503983,6.434005444883636,41.396426064792266,OK,
"(5,3,4)",5,3,4,n,n,5035.393685751835,5083.799151044722,4.976423567599725,24.76479152416197,OK,
"(4,3,3)",4,3,3,n,n,5035.665232644244,5074.3981564560645,6.762581970189091,45.732514903526564,OK,
"(3,3,4)",3,3,4,n,n,5040.282218469449,5079.006590703758,5.098400669036148,25.993689382028244,OK,
"(2,3,4)",2,3,4,n,n,5041.366945723952,5075.250771428973,6.310802898739819,39.8262332267429,OK,
"(2,3,2)",2,3,2,n,n,5042.198144430567,5066.411560841759,7.789483184345191,60.67604827919651,OK,
"(0,3,4)",0,3,4,n,n,5042.265596795619,5066.468329442062,6.445199807342606,41.54060055656916,OK,
"(4,0,3)",4,0,3,c,c,5051.510272362344,5095.113611675219,13.111952837446715,171.92330721142696,OK,
"(2,3,3)",2,3,3,n,n,5052.677482157176,5081.727175016042,5.650612747928898,31.929424427056578,OK,
"(5,3,3)",5,3,3,n,n,5053.784568192779,5097.349486956377,5.664636174166453,32.08810298567515,OK,
"(2,4,3)",2,4,3,n,n,5075.204654861192,5104.247934036924,19.197305043447574,368.53652093117773,OK,
"(4,3,4)",4,3,4,n,n,5075.27466264101,5118.839581404608,4.923942109153439,24.245205894294426,OK,
"(4,0,3)",4,0,3,t,t,5085.306514058475,5128.9098533713495,8.175151254359374,66.83309803165365,OK,
"(3,4,4)",3,4,4,n,n,5134.622789310373,5173.338600816204,82.08234830965327,6737.511904027238,OK,
"(0,3,2)",0,3,2,n,n,5134.8760801287135,5149.404129975429,4.856674655487876,23.58728870925828,OK,
"(5,2,0)",5,2,0,n,n,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,OK,
"(5,3,1)",5,3,1,n,n,5139.547986776439,5173.43181248146,108.87120774990848,11852.939876923732,OK,
"(1,4,3)",1,4,3,n,n,5148.719533944113,5172.922266590556,150.4352365557222,22630.760397576098,OK,
"(0,4,3)",0,4,3,n,n,5160.88286311429,5180.245049231445,5.47311812566238,29.95502201745409,OK,
"(4,2,0)",4,2,0,n,n,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,OK,
"(5,4,2)",5,4,2,n,n,5173.636449689526,5212.352261195357,104.25591081743134,10869.294940372198,OK,
"(4,3,1)",4,3,1,n,n,5175.237394137592,5204.287086996457,130.33752028433,16987.869193868133,OK,
"(4,4,2)",4,4,2,n,n,5187.4266680187175,5221.310493723739,146.709093230534,21523.558036525515,OK,
"(5,4,4)",5,4,4,n,n,5188.864961271291,5237.259725653579,144.24256445344082,20805.917400105027,OK,
"(5,0,3)",5,0,3,ct,ct,5192.497361732667,5245.778611171735,5.6013643257873005,31.375282310202618,OK,
"(4,4,4)",4,4,4,n,n,5192.804485271682,5236.359773215741,151.95156120462624,23089.27695252328,OK,
"(1,4,4)",1,4,4,n,n,5210.717076811309,5239.753935440683,33.943554982446926,1152.1649248463978,OK,
"(3,2,0)",3,2,0,n,n,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,OK,
"(5,4,3)",5,4,3,n,n,5214.437179920556,5257.992467864616,182.2958370483925,33231.77220517408,OK,
"(3,3,1)",3,3,1,n,n,5216.560550166876,5240.773966578068,149.464556451784,22339.653635328526,OK,
"(4,4,3)",4,4,3,n,n,5222.5913570191915,5261.315729253501,238.59469493021885,56927.4284488442,OK,
"(3,4,2)",3,4,2,n,n,5228.399100474575,5257.44879333344,177.2129696207508,31404.436601805148,OK,
"(2,4,4)",2,4,4,n,n,5239.331600195427,5273.207935263029,66.36754810879452,4404.651441973156,OK,
"(3,4,3)",3,4,3,n,n,5264.463423645306,5298.347249350327,194.06401066512046,37660.840235431984,OK,
"(4,0,3)",4,0,3,n,n,5273.365139237696,5312.123663071362,50.67778914296485,2568.2383124188054,OK,
"(4,0,3)",4,0,3,d,n,5273.365139237696,5312.123663071362,50.67778914296485,2568.2383124188054,OK,
"(2,2,0)",2,2,0,n,n,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,OK,
"(2,3,1)",2,3,1,n,n,5288.645526083304,5308.0205258793285,164.67147917545722,27116.696053833046,OK,
"(4,0,3)",4,0,3,ct,ct,5292.9337095536575,5341.38186434574,431.08741332562556,185836.35792777874,OK,
"(2,4,2)",2,4,2,n,n,5293.279088221243,5317.487165603631,199.77792164787988,39911.21797794643,OK,
